Tournament, Gender, Date,Round,Player 1,Player 2,Score,Winner
JP Morgan Tournament of Champions 2025,Men's,23 Jan 2025 • 17:30,Round 1,Christian Capella,Mohamed ElSherbini,"---, ---, ---, ---, ---, ---",Mohamed ElSherbini
JP Morgan Tournament of Champions 2025,Men's,23 Jan 2025 • 19:00,Round 1,Raphael Kandra,Mohamed Elshorbagy,"2-3, 12-10, 9-11, 15-13, 4-11, 2-11",Mohamed Elshorbagy
JP Morgan Tournament of Champions 2025,Men's,23 Jan 2025 • 12:00,Round 1,Karim Gawad,Gregoire Marche,"2-3, 11-8, 4-11, 13-15, 11-5, 8-11",Gregoire Marche
JP Morgan Tournament of Champions 2025,Men's,23 Jan 2025 • 18:30,Round 1,Sebastien Bonmalais,Baptiste Masotti,"1-3, 11-5, 8-11, 10-12, 3-11, ---",Baptiste Masotti
JP Morgan Tournament of Champions 2025,Men's,23 Jan 2025 • 17:00,Round 1,Miguel Rodriguez,Victor Crouin,"2-3, 8-11, 11-7, 11-5, 10-12, 2-11",Victor Crouin
JP Morgan Tournament of Champions 2025,Men's,23 Jan 2025 • 20:15,Round 1,Auguste Dussourd,Paul Coll,"1-3, 3-11, 12-10, 6-11, 3-11, ---",Paul Coll
JP Morgan Tournament of Champions 2025,Men's,24 Jan 2025 • 14:00,Round 1,Diego Elias,Mohamad Zakaria,"3-1, 11-13, 11-5, 11-4, 11-7, ---",Diego Elias
JP Morgan Tournament of Champions 2025,Men's,24 Jan 2025 • 19:15,Round 1,Mohamed Abouelghar,Ramit Tandon,"3-0, 11-8, 12-10, 15-13, ---, ---",Mohamed Abouelghar
JP Morgan Tournament of Champions 2025,Men's,24 Jan 2025 • 19:15,Round 1,Youssef Ibrahim,Dimitri Steinmann,"3-0, 17-15, 11-6, 11-8, ---, ---",Youssef Ibrahim
JP Morgan Tournament of Champions 2025,Men's,24 Jan 2025 • 12:00,Round 1,Leonel Cardenas,Joel Makin,"0-3, 4-11, 2-11, 5-11, ---, ---",Joel Makin
JP Morgan Tournament of Champions 2025,Men's,24 Jan 2025 • 19:30,Round 1,Tarek Momen,Nicolas Mueller,"3-1, 10-12, 11-4, 11-3, 11-7, ---",Tarek Momen
JP Morgan Tournament of Champions 2025,Men's,24 Jan 2025 • 19:30,Round 1,Declan James,Fares Dessouky,"0-3, 6-11, 5-11, 2-11, ---, ---",Fares Dessouky
JP Morgan Tournament of Champions 2025,Men's,24 Jan 2025 • 19:00,Round 1,Timothy Brownell,Dillon Huang,"3-1, 11-5, 8-11, 11-3, 11-7, ---",Timothy Brownell
JP Morgan Tournament of Champions 2025,Men's,24 Jan 2025 • 17:00,Round 1,Aly Abou Eleinen,Mostafa Asal,"0-3, 7-11, 4-11, 2-11, ---, ---",Mostafa Asal
JP Morgan Tournament of Champions 2025,Women's,30 Jan 2025 • 19:00,Final,Nouran Gohar,Hania El Hammamy,"2-3, 11-8, 8-11, 11-3, 6-11, 8-11",Hania El Hammamy
JP Morgan Tournament of Champions 2025,Women's,29 Jan 2025 • 17:00,Semi final,Nouran Gohar,Olivia Weaver,"3-1, 11-5, 7-11, 12-10, 12-10, ---",Nouran Gohar
JP Morgan Tournament of Champions 2025,Women's,29 Jan 2025 • 17:45,Semi final,Hania El Hammamy,Nour ElSherbini,"3-1, 11-6, 11-4, 9-11, 11-9, ---",Hania El Hammamy
JP Morgan Tournament of Champions 2025,Women's,27 Jan 2025 • 17:00,Quarter final,Nouran Gohar,Amina Orfi,"3-0, 11-5, 11-2, 11-9, ---, ---",Nouran Gohar
JP Morgan Tournament of Champions 2025,Women's,27 Jan 2025 • 19:30,Quarter final,Tinne Gilis,Olivia Weaver,"0-3, 8-11, 2-11, 4-11, ---, ---",Olivia Weaver
JP Morgan Tournament of Champions 2025,Women's,28 Jan 2025 • 19:30,Quarter final,Hania El Hammamy,Jasmine Hutton,"3-0, 11-2, 11-7, 11-2, ---, ---",Hania El Hammamy
JP Morgan Tournament of Champions 2025,Women's,28 Jan 2025 • 17:00,Quarter final,Rowan Elaraby,Nour ElSherbini,"1-3, 8-11, 11-2, 10-12, 7-11, ---",Nour ElSherbini
JP Morgan Tournament of Champions 2025,Women's,25 Jan 2025 • 14:45,Round 2,Nouran Gohar,Amanda Sobhy,"3-0, 11-9, 11-9, 11-8, ---, ---",Nouran Gohar
JP Morgan Tournament of Champions 2025,Women's,25 Jan 2025 • 12:45,Round 2,Nele Gilis-Coll,Amina Orfi,"0-3, 5-11, 9-11, 8-11, ---, ---",Amina Orfi
JP Morgan Tournament of Champions 2025,Women's,25 Jan 2025 • 20:45,Round 2,Tinne Gilis,Tesni Murphy,"3-2, 14-12, 11-9, 3-11, 10-12, 11-6",Tinne Gilis
JP Morgan Tournament of Champions 2025,Women's,25 Jan 2025 • 17:45,Round 2,Sana Ibrahim,Olivia Weaver,"0-3, 8-11, 5-11, 3-11, ---, ---",Olivia Weaver
JP Morgan Tournament of Champions 2025,Women's,26 Jan 2025 • 19:30,Round 2,Hania El Hammamy,Nada Abbas,"3-0, 11-2, 11-7, 11-9, ---, ---",Hania El Hammamy
JP Morgan Tournament of Champions 2025,Women's,26 Jan 2025 • 20:15,Round 2,Jasmine Hutton,Georgina Kennedy,"3-2, 10-12, 11-6, 7-11, 11-3, 11-8",Jasmine Hutton
JP Morgan Tournament of Champions 2025,Women's,26 Jan 2025 • 12:45,Round 2,Rowan Elaraby,Malak Khafagy,"3-0, 13-11, 11-9, 11-4, ---, ---",Rowan Elaraby
JP Morgan Tournament of Champions 2025,Women's,26 Jan 2025 • 14:45,Round 2,Georgia Adderley,Nour ElSherbini,"0-3, 3-11, 11-13, 9-11, ---, ---",Nour ElSherbini
JP Morgan Tournament of Champions 2025,Women's,23 Jan 2025 • 14:00,Round 1,Nouran Gohar,Satomi Watanabe,"3-1, 13-15, 11-8, 11-7, 11-6, ---",Nouran Gohar
JP Morgan Tournament of Champions 2025,Women's,23 Jan 2025 • 14:45,Round 1,Amanda Sobhy,Sivasangari Subramaniam,"3-2, 11-4, 4-11, 11-6, 8-11, 11-9",Amanda Sobhy
JP Morgan Tournament of Champions 2025,Women's,23 Jan 2025 • 18:30,Round 1,Rachel Arnold,Nele Gilis-Coll,"2-3, 12-10, 11-5, 9-11, 6-11, 6-11",Nele Gilis-Coll
JP Morgan Tournament of Champions 2025,Women's,23 Jan 2025 • 12:45,Round 1,Fayrouz Aboelkheir,Amina Orfi,"0-3, 5-11, 8-11, 3-11, ---, ---",Amina Orfi
JP Morgan Tournament of Champions 2025,Women's,23 Jan 2025 • 20:00,Round 1,Tinne Gilis,Hana Ramadan,"3-1, 11-4, 7-11, 11-6, 11-4, ---",Tinne Gilis
JP Morgan Tournament of Champions 2025,Women's,23 Jan 2025 • 18:15,Round 1,Tesni Murphy,Sarah-Jane Perry,"3-0, 11-6, 11-9, 11-7, ---, ---",Tesni Murphy
JP Morgan Tournament of Champions 2025,Women's,23 Jan 2025 • 19:15,Round 1,Aira Azman,Sana Ibrahim,"0-3, 9-11, 7-11, 6-11, ---, ---",Sana Ibrahim
JP Morgan Tournament of Champions 2025,Women's,23 Jan 2025 • 17:45,Round 1,Katie Malliff,Olivia Weaver,"0-3, 9-11, 2-11, 2-11, ---, ---",Olivia Weaver
JP Morgan Tournament of Champions 2025,Women's,24 Jan 2025 • 17:45,Round 1,Hania El Hammamy,Lisa Aitken,"3-0, 11-4, 11-5, 11-2, ---, ---",Hania El Hammamy
JP Morgan Tournament of Champions 2025,Women's,24 Jan 2025 • 18:30,Round 1,Nada Abbas,Laila Sedky,"3-0, 11-3, 11-3, 11-7, ---, ---",Nada Abbas
JP Morgan Tournament of Champions 2025,Women's,24 Jan 2025 • 18:45,Round 1,Jasmine Hutton,Melissa Alves,"3-0, 11-7, 11-7, 11-9, ---, ---",Jasmine Hutton
JP Morgan Tournament of Champions 2025,Women's,24 Jan 2025 • 18:15,Round 1,Lucy Turmel,Georgina Kennedy,"0-3, 3-11, 9-11, 6-11, ---, ---",Georgina Kennedy
JP Morgan Tournament of Champions 2025,Women's,24 Jan 2025 • 12:45,Round 1,Rowan Elaraby,Farida Mohamed,"3-0, 11-9, 11-8, 11-4, ---, ---",Rowan Elaraby
JP Morgan Tournament of Champions 2025,Women's,24 Jan 2025 • 18:30,Round 1,Malak Khafagy,Charlotte Pastel,"3-0, 11-3, 11-2, 11-8, ---, ---",Malak Khafagy
JP Morgan Tournament of Champions 2025,Women's,24 Jan 2025 • 20:15,Round 1,Georgia Adderley,Tomato Ho,"3-0, 11-4, 11-7, 11-5, ---, ---",Georgia Adderley
JP Morgan Tournament of Champions 2025,Women's,24 Jan 2025 • 14:45,Round 1,Hollie Naughton,Nour ElSherbini,"0-3, 5-11, 2-11, 4-11, ---, ---",Nour ElSherbini
Carol Weymuller Open 2025,Women's,02 Feb 2025 • 17:00,Final,Fayrouz Aboelkheir,Nada Abbas,"3-0, 11-7, 11-9, 12-10, ---, ---",Fayrouz Aboelkheir
Carol Weymuller Open 2025,Women's,01 Feb 2025 • 17:00,Semi final,Fayrouz Aboelkheir,Farida Mohamed,"3-1, 11-5, 11-7, 8-2, ---, ---",Fayrouz Aboelkheir
Carol Weymuller Open 2025,Women's,01 Feb 2025 • 17:45,Semi final,Nada Abbas,Sarah-Jane Perry,"3-1, 11-3, 10-12, 11-3, 11-6, ---",Nada Abbas
Carol Weymuller Open 2025,Women's,31 Jan 2025 • 17:45,Quarter final,Fayrouz Aboelkheir,Melissa Alves,"3-0, 11-4, 11-5, 11-8, ---, ---",Fayrouz Aboelkheir
Carol Weymuller Open 2025,Women's,31 Jan 2025 • 17:00,Quarter final,Rachel Arnold,Farida Mohamed,"2-3, 11-5, 10-12, 17-15, 6-11, 8-11",Farida Mohamed
Carol Weymuller Open 2025,Women's,31 Jan 2025 • 19:15,Quarter final,Nada Abbas,Hollie Naughton,"3-0, 11-3, 11-3, 11-9, ---, ---",Nada Abbas
Carol Weymuller Open 2025,Women's,31 Jan 2025 • 18:30,Quarter final,Sarah-Jane Perry,Salma Hany,"3-1, 5-11, 16-14, 11-7, 11-3, ---",Sarah-Jane Perry
Carol Weymuller Open 2025,Women's,30 Jan 2025 • 17:45,Round 2,Fayrouz Aboelkheir,Hana Moataz,"3-1, 11-3, 11-8, 8-11, 11-6, ---",Fayrouz Aboelkheir
Carol Weymuller Open 2025,Women's,30 Jan 2025 • 17:00,Round 2,Aira Azman,Melissa Alves,"0-3, 6-11, 5-11, 5-11, ---, ---",Melissa Alves
Carol Weymuller Open 2025,Women's,30 Jan 2025 • 17:45,Round 2,Rachel Arnold,Hana Ramadan,"3-0, 11-6, 11-9, 11-5, ---, ---",Rachel Arnold
Carol Weymuller Open 2025,Women's,30 Jan 2025 • 19:15,Round 2,Ka Yi Lee,Farida Mohamed,"2-3, 4-11, 11-7, 11-8, 5-11, 3-11",Farida Mohamed
Carol Weymuller Open 2025,Women's,30 Jan 2025 • 17:00,Round 2,Nada Abbas,Nour Aboulmakarim,"3-0, 14-12, 11-6, 11-7, ---, ---",Nada Abbas
Carol Weymuller Open 2025,Women's,30 Jan 2025 • 18:30,Round 2,Lucy Beecroft,Hollie Naughton,"1-3, 10-12, 11-6, 5-11, 5-11, ---",Hollie Naughton
Carol Weymuller Open 2025,Women's,30 Jan 2025 • 19:15,Round 2,Sarah-Jane Perry,Mariam Metwally,"3-1, 11-5, 8-11, 11-9, 11-2, ---",Sarah-Jane Perry
Carol Weymuller Open 2025,Women's,30 Jan 2025 • 18:30,Round 2,Nardine Garas,Salma Hany,"0-3, 12-14, 9-11, 10-12, ---, ---",Salma Hany
Carol Weymuller Open 2025,Women's,-,Round 1,Fayrouz Aboelkheir,BYE,"---, ---, ---, ---, ---, ---",BYE
Carol Weymuller Open 2025,Women's,29 Jan 2025 • 17:45,Round 1,Min Jie Teh,Hana Moataz,"0-3, 5-11, 11-13, 4-11, ---, ---",Hana Moataz
Carol Weymuller Open 2025,Women's,29 Jan 2025 • 19:00,Round 1,Aira Azman,Haley Mendez,"3-0, 11-7, 11-5, 11-5, ---, ---",Aira Azman
Carol Weymuller Open 2025,Women's,-,Round 1,BYE,Melissa Alves,"---, ---, ---, ---, ---, ---",Melissa Alves
Carol Weymuller Open 2025,Women's,-,Round 1,Rachel Arnold,BYE,"---, ---, ---, ---, ---, ---",BYE
Carol Weymuller Open 2025,Women's,29 Jan 2025 • 17:00,Round 1,Nour Heikal,Hana Ramadan,"1-3, 7-11, 12-10, 8-11, 8-11, ---",Hana Ramadan
Carol Weymuller Open 2025,Women's,29 Jan 2025 • 19:45,Round 1,Ka Yi Lee,Emilia Soini,"3-2, 11-4, 3-11, 11-6, 7-11, 11-9",Ka Yi Lee
Carol Weymuller Open 2025,Women's,-,Round 1,BYE,Farida Mohamed,"---, ---, ---, ---, ---, ---",Farida Mohamed
Carol Weymuller Open 2025,Women's,-,Round 1,Nada Abbas,BYE,"---, ---, ---, ---, ---, ---",BYE
Carol Weymuller Open 2025,Women's,29 Jan 2025 • 17:45,Round 1,Marie Stephan,Nour Aboulmakarim,"1-3, 8-11, 4-11, 12-10, 10-12, ---",Nour Aboulmakarim
Carol Weymuller Open 2025,Women's,29 Jan 2025 • 19:00,Round 1,Lucy Beecroft,Grace Gear,"3-2, 9-11, 0-11, 12-10, 11-9, 11-5",Lucy Beecroft
Carol Weymuller Open 2025,Women's,-,Round 1,BYE,Hollie Naughton,"---, ---, ---, ---, ---, ---",Hollie Naughton
Carol Weymuller Open 2025,Women's,-,Round 1,Sarah-Jane Perry,BYE,"---, ---, ---, ---, ---, ---",BYE
Carol Weymuller Open 2025,Women's,29 Jan 2025 • 19:45,Round 1,Tsz-Wing Tong,Mariam Metwally,"2-3, 7-11, 12-10, 11-8, 5-11, 13-15",Mariam Metwally
Carol Weymuller Open 2025,Women's,29 Jan 2025 • 17:00,Round 1,Katie Malliff,Nardine Garas,"0-3, 2-11, 9-11, 10-12, ---, ---",Nardine Garas
Carol Weymuller Open 2025,Women's,-,Round 1,BYE,Salma Hany,"---, ---, ---, ---, ---, ---",Salma Hany
DR21 Motor City Open 2025,Men's,08 Feb 2025 • 17:30,Final,Leonel Cardenas,Paul Coll,"1-3, 11-8, 10-12, 9-11, 9-11, ---",Paul Coll
DR21 Motor City Open 2025,Men's,07 Feb 2025 • 18:00,Semi final,Leonel Cardenas,Eain Yow Ng,"3-0, 11-7, 11-4, 11-4, ---, ---",Leonel Cardenas
DR21 Motor City Open 2025,Men's,07 Feb 2025 • 19:00,Semi final,Aly Abou Eleinen,Paul Coll,"1-3, 11-9, 8-11, 8-11, 6-11, ---",Paul Coll
DR21 Motor City Open 2025,Men's,06 Feb 2025 • 18:00,Quarter final,Juan Vargas,Leonel Cardenas,"0-3, 7-11, 3-11, 6-11, ---, ---",Leonel Cardenas
DR21 Motor City Open 2025,Men's,06 Feb 2025 • 18:00,Quarter final,Baptiste Masotti,Eain Yow Ng,"1-3, 5-11, 11-6, 8-11, 8-11, ---",Eain Yow Ng
DR21 Motor City Open 2025,Men's,06 Feb 2025 • 19:00,Quarter final,Aly Abou Eleinen,Mohamed ElSherbini,"3-1, 11-13, 11-3, 11-2, 11-2, ---",Aly Abou Eleinen
DR21 Motor City Open 2025,Men's,06 Feb 2025 • 19:00,Quarter final,Dimitri Steinmann,Paul Coll,"2-3, 13-11, 9-11, 11-8, 11-13, 5-11",Paul Coll
DR21 Motor City Open 2025,Men's,05 Feb 2025 • 18:00,Round 2,Diego Elias,Juan Vargas,"---, ---, ---, ---, ---, ---",Juan Vargas
DR21 Motor City Open 2025,Men's,05 Feb 2025 • 18:00,Round 2,Nathan Lake,Leonel Cardenas,"2-3, 7-11, 11-9, 11-4, 7-11, 5-11",Leonel Cardenas
DR21 Motor City Open 2025,Men's,05 Feb 2025 • 17:00,Round 2,Miguel Rodriguez,Baptiste Masotti,"2-3, 14-12, 3-11, 11-8, 6-11, 9-11",Baptiste Masotti
DR21 Motor City Open 2025,Men's,05 Feb 2025 • 17:00,Round 2,Simon Herbert,Eain Yow Ng,"0-3, 5-11, 9-11, 5-11, ---, ---",Eain Yow Ng
DR21 Motor City Open 2025,Men's,05 Feb 2025 • 20:00,Round 2,Aly Abou Eleinen,Yahya Elnawasany,"3-1, 11-4, 1-11, 11-4, 11-6, ---",Aly Abou Eleinen
DR21 Motor City Open 2025,Men's,05 Feb 2025 • 20:00,Round 2,Mohamed ElSherbini,Greg Lobban,"3-0, 12-10, 15-13, 11-9, ---, ---",Mohamed ElSherbini
DR21 Motor City Open 2025,Men's,05 Feb 2025 • 19:00,Round 2,Dimitri Steinmann,Ryunosuke Tsukue,"3-0, 11-8, 11-5, 13-11, ---, ---",Dimitri Steinmann
DR21 Motor City Open 2025,Men's,05 Feb 2025 • 19:00,Round 2,Jonah Bryant,Paul Coll,"1-3, 7-11, 12-10, 11-13, 8-11, ---",Paul Coll
DR21 Motor City Open 2025,Men's,-,Round 1,Diego Elias,BYE,"---, ---, ---, ---, ---, ---",BYE
DR21 Motor City Open 2025,Men's,04 Feb 2025 • 17:00,Round 1,David Baillargeon,Juan Vargas,"0-3, 7-11, 9-11, 7-11, ---, ---",Juan Vargas
DR21 Motor City Open 2025,Men's,04 Feb 2025 • 17:00,Round 1,Nathan Lake,Cesar Salazar,"3-0, 11-5, 11-9, 11-8, ---, ---",Nathan Lake
DR21 Motor City Open 2025,Men's,-,Round 1,BYE,Leonel Cardenas,"---, ---, ---, ---, ---, ---",Leonel Cardenas
DR21 Motor City Open 2025,Men's,-,Round 1,Miguel Rodriguez,BYE,"---, ---, ---, ---, ---, ---",BYE
DR21 Motor City Open 2025,Men's,04 Feb 2025 • 16:00,Round 1,Yannick Wilhelmi,Baptiste Masotti,"0-3, 2-11, 2-11, 6-11, ---, ---",Baptiste Masotti
DR21 Motor City Open 2025,Men's,04 Feb 2025 • 16:00,Round 1,Patrick Rooney,Simon Herbert,"1-3, 7-11, 8-11, 11-4, 4-11, ---",Simon Herbert
DR21 Motor City Open 2025,Men's,-,Round 1,BYE,Eain Yow Ng,"---, ---, ---, ---, ---, ---",Eain Yow Ng
DR21 Motor City Open 2025,Men's,-,Round 1,Aly Abou Eleinen,BYE,"---, ---, ---, ---, ---, ---",BYE
DR21 Motor City Open 2025,Men's,04 Feb 2025 • 19:00,Round 1,Yahya Elnawasany,Henry Leung,"3-0, 11-5, 12-10, 11-5, ---, ---",Yahya Elnawasany
DR21 Motor City Open 2025,Men's,04 Feb 2025 • 19:00,Round 1,Mohamed ElSherbini,Rui Soares,"3-2, 10-12, 11-7, 10-12, 11-4, 13-11",Mohamed ElSherbini
DR21 Motor City Open 2025,Men's,-,Round 1,BYE,Greg Lobban,"---, ---, ---, ---, ---, ---",Greg Lobban
DR21 Motor City Open 2025,Men's,-,Round 1,Dimitri Steinmann,BYE,"---, ---, ---, ---, ---, ---",BYE
DR21 Motor City Open 2025,Men's,04 Feb 2025 • 18:00,Round 1,Ryunosuke Tsukue,Timothy Brownell,"3-2, 11-8, 4-11, 11-13, 11-4, 11-7",Ryunosuke Tsukue
DR21 Motor City Open 2025,Men's,04 Feb 2025 • 18:00,Round 1,Alex Lau,Jonah Bryant,"0-3, 4-11, 5-11, 3-11, ---, ---",Jonah Bryant
DR21 Motor City Open 2025,Men's,-,Round 1,BYE,Paul Coll,"---, ---, ---, ---, ---, ---",Paul Coll
Cincinnati Gaynor Cup 2025,Women's,09 Feb 2025 • 12:00,Final,Amanda Sobhy,Sivasangari Subramaniam,"2-3, 7-11, 11-6, 11-7, 7-11, 4-11",Sivasangari Subramaniam
Cincinnati Gaynor Cup 2025,Women's,08 Feb 2025 • 15:30,Semi final,Amanda Sobhy,Jasmine Hutton,"3-1, 11-9, 8-11, 11-9, 11-4, ---",Amanda Sobhy
Cincinnati Gaynor Cup 2025,Women's,08 Feb 2025 • 16:30,Semi final,Sivasangari Subramaniam,Olivia Weaver,"3-1, 11-6, 11-9, 9-11, 11-5, ---",Sivasangari Subramaniam
Cincinnati Gaynor Cup 2025,Women's,07 Feb 2025 • 18:00,Quarter final,Amanda Sobhy,Salma Hany,"3-0, 11-5, 11-4, 11-7, ---, ---",Amanda Sobhy
Cincinnati Gaynor Cup 2025,Women's,07 Feb 2025 • 17:00,Quarter final,Jasmine Hutton,Fayrouz Aboelkheir,"3-1, 11-5, 7-11, 11-9, 12-10, ---",Jasmine Hutton
Cincinnati Gaynor Cup 2025,Women's,07 Feb 2025 • 19:00,Quarter final,Sivasangari Subramaniam,Torrie Malik,"3-0, 11-6, 11-9, 11-7, ---, ---",Sivasangari Subramaniam
Cincinnati Gaynor Cup 2025,Women's,07 Feb 2025 • 20:00,Quarter final,Rachel Arnold,Olivia Weaver,"0-3, 5-11, 5-11, 3-11, ---, ---",Olivia Weaver
Cincinnati Gaynor Cup 2025,Women's,06 Feb 2025 • 14:30,Round 2,Amanda Sobhy,Hana Ramadan,"3-0, 11-7, 11-6, 11-4, ---, ---",Amanda Sobhy
Cincinnati Gaynor Cup 2025,Women's,06 Feb 2025 • 13:45,Round 2,Marina Stefanoni,Salma Hany,"1-3, 10-12, 13-11, 8-11, 6-11, ---",Salma Hany
Cincinnati Gaynor Cup 2025,Women's,06 Feb 2025 • 13:00,Round 2,Jasmine Hutton,Marie Stephan,"3-0, 11-5, 11-4, 11-6, ---, ---",Jasmine Hutton
Cincinnati Gaynor Cup 2025,Women's,06 Feb 2025 • 17:00,Round 2,Salma Eltayeb,Fayrouz Aboelkheir,"0-3, 6-11, 8-11, 2-11, ---, ---",Fayrouz Aboelkheir
Cincinnati Gaynor Cup 2025,Women's,06 Feb 2025 • 17:45,Round 2,Sivasangari Subramaniam,Grace Gear,"3-1, 7-11, 11-8, 11-1, 11-5, ---",Sivasangari Subramaniam
Cincinnati Gaynor Cup 2025,Women's,06 Feb 2025 • 15:15,Round 2,Torrie Malik,Sarah-Jane Perry,"3-0, 11-9, 11-4, 11-5, ---, ---",Torrie Malik
Cincinnati Gaynor Cup 2025,Women's,06 Feb 2025 • 19:15,Round 2,Rachel Arnold,Tsz-Wing Tong,"3-0, 11-5, 11-5, 11-8, ---, ---",Rachel Arnold
Cincinnati Gaynor Cup 2025,Women's,06 Feb 2025 • 18:30,Round 2,Menna Hamed,Olivia Weaver,"0-3, 0-11, 0-11, 5-11, ---, ---",Olivia Weaver
Cincinnati Gaynor Cup 2025,Women's,-,Round 1,Amanda Sobhy,BYE,"---, ---, ---, ---, ---, ---",BYE
Cincinnati Gaynor Cup 2025,Women's,05 Feb 2025 • 14:30,Round 1,Ka Yi Lee,Hana Ramadan,"0-3, 9-11, 7-11, 4-11, ---, ---",Hana Ramadan
Cincinnati Gaynor Cup 2025,Women's,05 Feb 2025 • 15:15,Round 1,Marina Stefanoni,Alicia Mead,"3-0, 12-10, 11-9, 11-3, ---, ---",Marina Stefanoni
Cincinnati Gaynor Cup 2025,Women's,-,Round 1,BYE,Salma Hany,"---, ---, ---, ---, ---, ---",Salma Hany
Cincinnati Gaynor Cup 2025,Women's,-,Round 1,Jasmine Hutton,BYE,"---, ---, ---, ---, ---, ---",BYE
Cincinnati Gaynor Cup 2025,Women's,05 Feb 2025 • 13:00,Round 1,Marie Stephan,Hana Moataz,"3-1, 3-11, 11-4, 13-11, 16-14, ---",Marie Stephan
Cincinnati Gaynor Cup 2025,Women's,05 Feb 2025 • 13:45,Round 1,Salma Eltayeb,Kenzy Ayman,"3-2, 11-5, 12-10, 6-11, 8-11, 11-7",Salma Eltayeb
Cincinnati Gaynor Cup 2025,Women's,-,Round 1,BYE,Fayrouz Aboelkheir,"---, ---, ---, ---, ---, ---",Fayrouz Aboelkheir
Cincinnati Gaynor Cup 2025,Women's,-,Round 1,Sivasangari Subramaniam,BYE,"---, ---, ---, ---, ---, ---",BYE
Cincinnati Gaynor Cup 2025,Women's,05 Feb 2025 • 17:45,Round 1,Grace Gear,Mariam Metwally,"3-1, 11-9, 7-11, 11-2, 11-6, ---",Grace Gear
Cincinnati Gaynor Cup 2025,Women's,05 Feb 2025 • 17:00,Round 1,Lucy Beecroft,Torrie Malik,"0-3, 6-11, 4-11, 9-11, ---, ---",Torrie Malik
Cincinnati Gaynor Cup 2025,Women's,-,Round 1,BYE,Sarah-Jane Perry,"---, ---, ---, ---, ---, ---",Sarah-Jane Perry
Cincinnati Gaynor Cup 2025,Women's,-,Round 1,Rachel Arnold,BYE,"---, ---, ---, ---, ---, ---",BYE
Cincinnati Gaynor Cup 2025,Women's,05 Feb 2025 • 19:15,Round 1,Tsz-Wing Tong,Emily Whitlock,"3-2, 8-11, 8-11, 11-7, 11-3, 12-10",Tsz-Wing Tong
Cincinnati Gaynor Cup 2025,Women's,05 Feb 2025 • 18:30,Round 1,Menna Hamed,Charlotte Sze,"3-1, 11-7, 11-6, 8-11, 11-7, ---",Menna Hamed
Cincinnati Gaynor Cup 2025,Women's,-,Round 1,BYE,Olivia Weaver,"---, ---, ---, ---, ---, ---",Olivia Weaver
Pittsburgh Open 2025,Men's,16 Feb 2025 • 12:00,Final,Youssef Ibrahim,Joel Makin,"1-3, 11-9, 8-11, 9-11, 7-11, ---",Joel Makin
Pittsburgh Open 2025,Men's,15 Feb 2025 • 14:00,Semi final,Diego Elias,Youssef Ibrahim,"0-3, 10-12, 4-11, 4-11, ---, ---",Youssef Ibrahim
Pittsburgh Open 2025,Men's,15 Feb 2025 • 14:45,Semi final,Youssef Soliman,Joel Makin,"0-3, 5-11, 10-12, 7-11, ---, ---",Joel Makin
Pittsburgh Open 2025,Men's,14 Feb 2025 • 17:45,Quarter final,Diego Elias,Sebastien Bonmalais,"3-0, 11-7, 11-8, 13-11, ---, ---",Diego Elias
Pittsburgh Open 2025,Men's,14 Feb 2025 • 17:00,Quarter final,Youssef Ibrahim,Victor Crouin,"3-1, 15-13, 5-11, 12-10, 11-5, ---",Youssef Ibrahim
Pittsburgh Open 2025,Men's,14 Feb 2025 • 19:15,Quarter final,Youssef Soliman,Dimitri Steinmann,"3-2, 11-4, 3-11, 11-5, 6-11, 13-11",Youssef Soliman
Pittsburgh Open 2025,Men's,14 Feb 2025 • 18:30,Quarter final,Greg Lobban,Joel Makin,"RET-, 6-11, 5-10, ---, ---, ---",Joel Makin
Pittsburgh Open 2025,Men's,13 Feb 2025 • 16:45,Round 2,Diego Elias,Ramit Tandon,"3-0, 11-5, 11-5, 11-9, ---, ---",Diego Elias
Pittsburgh Open 2025,Men's,13 Feb 2025 • 17:00,Round 2,Karim El Hammamy,Sebastien Bonmalais,"1-3, 11-13, 6-11, 11-7, 9-11, ---",Sebastien Bonmalais
Pittsburgh Open 2025,Men's,13 Feb 2025 • 16:15,Round 2,Youssef Ibrahim,Moustafa Elsirty,"3-1, 5-11, 11-4, 11-5, 11-6, ---",Youssef Ibrahim
Pittsburgh Open 2025,Men's,13 Feb 2025 • 16:00,Round 2,Yannick Wilhelmi,Victor Crouin,"0-3, 6-11, 5-11, 5-11, ---, ---",Victor Crouin
Pittsburgh Open 2025,Men's,13 Feb 2025 • 18:15,Round 2,Youssef Soliman,Baptiste Masotti,"3-1, 11-3, 11-6, 11-13, 11-7, ---",Youssef Soliman
Pittsburgh Open 2025,Men's,13 Feb 2025 • 18:30,Round 2,Mohamed Abouelghar,Dimitri Steinmann,"0-3, 4-11, 5-11, 7-11, ---, ---",Dimitri Steinmann
Pittsburgh Open 2025,Men's,13 Feb 2025 • 17:45,Round 2,Greg Lobban,Velavan Senthilkumar,"3-1, 9-11, 12-10, 11-8, 11-9, ---",Greg Lobban
Pittsburgh Open 2025,Men's,13 Feb 2025 • 17:30,Round 2,Juan Vargas,Joel Makin,"0-3, 2-11, 4-11, 3-11, ---, ---",Joel Makin
Pittsburgh Open 2025,Men's,-,Round 1,Diego Elias,BYE,"---, ---, ---, ---, ---, ---",BYE
